Symbol,Market_Cap (B),Dividend_Growth,Momentum
AAPL,2246.9187686,0.23871160611983547,1.5659620717394644
CAT,127.0230672,0.11147981151064239,1.0998324069716419
GS,118.378192,0.13968510632666298,0.7148780700128524
HD,345.5661128,0.20623339655692902,0.759092725110449
JPM,460.028387,0.4685264870225887,0.7986926095338897
MSFT,1918.4380109,0.144051856939089,1.4133111015629942
NKE,206.2173059,0.13709335991523222,0.7244935740841384
UNH,373.336258,0.28478895589268693,0.8131557064869414
V,500.4431052,0.25368881829450973,0.6910862751460317
DIS,332.8286361,0.18046054177607695,0.6650955749281792
AMAT,124.40727460000001,0.14010142029380274,2.3055983479417255
COST,163.3879043,1.7768183700875546,0.6545957156219673
INTU,113.8407232,0.5002322066334182,1.1266669026874705
NVDA,381.514923,0.5591677689151776,3.2232583512578534
QCOM,155.12079999999997,0.13616750142778578,1.1175462287474514
SBUX,132.58752600000003,0.2548441277025649,0.6542724657106218
TXN,168.75360740000002,0.22866816624781738,1.0958126811466506
ABBV,197.4663588,0.17189077201876107,0.5678860492176311
ACN,184.6809375,0.1612200891554589,0.8017341752385504
BLK,124.9005691,0.14065837829780833,0.7463445530775694
DHR,184.1757448,6.30660768217385,1.1629654049438771
HON,155.0803744,0.12145633785724794,0.6193439839286361
LOW,141.112022,0.18953504613693672,0.9890831326476377
MA,392.19930330000005,0.4313663135110504,1.0364985839185923
MS,153.4449,0.2360833610833611,1.019579091901619
NEE,151.2666461,0.10865405561203086,0.7825636301367174
TGT,101.80800239999999,0.12669676170925576,1.4413261129480166
UNP,150.59073370000002,0.2011014118214393,0.752764418947278
AMT,111.9166195,0.37402292038861074,0.5546919992690492
AVGO,187.1698573,0.9402767591877342,1.04157429420086
EL,114.3708151,0.15839707472664571,1.125040198681538
SCHW,131.1906783,0.12847695841621673,0.722112156080007
